Shohei Ohtani	LAD	340	79.6666	2.95042634	2.758157492	5.708583832	19755
Pete Crow-Armstrong	CHC	345		4.76487112		4.76487112	27769
Bobby Witt Jr.	KCR	337		4.35831213		4.35831213	25764
Jacob Misiorowski	MIL		93	0	4.241409779	4.241409779	31623
Cristopher SÃ¡nchez	PHI		105	0	3.817673683	3.817673683	20778
Yordan Alvarez	HOU	354		3.814308882		3.814308882	19556
Dillon Dingler	DET	305		3.654731989		3.654731989	27464
Cam Schlittler	NYY		95	0	3.576230764	3.576230764	32095
Corbin Carroll	ARI	329		3.487683535		3.487683535	25878
Otto Lopez	MIA	340		3.365822315		3.365822315	19608
Nick Kurtz	ATH	361		3.2751441		3.2751441	35110
Kevin McGonigle	DET	340		3.274231195		3.274231195	33572
JJ Wetherholt	STL	338		3.252615452		3.252615452	34985
James Wood	WSN	377		2.988094091		2.988094091	29518
Luis Arraez	SFG	332		2.958510876		2.958510876	18568
Braxton Ashcraft	PIT		96.6666	0	2.950574636	2.950574636	23793
Max Muncy	LAD	282		2.947576761		2.947576761	13301
Reid Detmers	LAA		94	0	2.895055294	2.895055294	27468
Byron Buxton	MIN	315		2.86329937		2.86329937	14161
Brice Turang	MIL	336		2.8339324		2.8339324	22186
Cody Bellinger	NYY	336		2.764929295		2.764929295	15998
Joe Ryan	MIN		93.3333	0	2.748368025	2.748368025	21390
Dylan Cease	TOR		78.6666	0	2.747989893	2.747989893	18525
CJ Abrams	WSN	332		2.730776072		2.730776072	25768
Ranger Suarez	BOS		82.6666	0	2.663482428	2.663482428	17277
Ben Rice	NYY	320		2.657765627		2.657765627	29576
Yandy DÃ­az	TBR	326		2.596992016		2.596992016	16578
Matt Olson	ATL	345		2.589872122		2.589872122	14344
Paul Skenes	PIT		88	0	2.578831673	2.578831673	33677
Colson Montgomery	CHW	316		2.560764313		2.560764313	29712
Davis Martin	CHW		87.6666	0	2.557467222	2.557467222	21448
Chase Burns	CIN		85.6666	0	2.547937632	2.547937632	35333
Elly De La Cruz	CIN	266		2.517157316		2.517157316	26668
Ceddanne Rafaela	BOS	294		2.505758047		2.505758047	24262
Bryan Reynolds	PIT	344		2.481286287		2.481286287	19326
Bryan Woo	SEA		93	0	2.477873087	2.477873087	30279
Kyle Schwarber	PHI	338		2.476824999		2.476824999	16478
Brandon Lowe	PIT	327		2.474008799		2.474008799	18882
Parker Messick	CLE		94.3333	0	2.441416979	2.441416979	31986
Chris Sale	ATL		84	0	2.439702034	2.439702034	10603
Mike Trout	LAA	335		2.436292171		2.436292171	10155
Miguel Vargas	CHW	337		2.421643972		2.421643972	20178
Andy Pages	LAD	343		2.415908813		2.415908813	24816
Willson Contreras	BOS	317		2.387924194		2.387924194	11609
JesÃºs Luzardo	PHI		92.3333	0	2.384812355	2.384812355	19959
Drew Rasmussen	TBR		86	0	2.384195328	2.384195328	25385
Freddie Freeman	LAD	341		2.36199069		2.36199069	5361
Juan Soto	NYM	259		2.345092058		2.345092058	20123
Michael Harris II	ATL	279		2.318869352		2.318869352	25931
JosÃ© RamÃ­rez	CLE	314		2.303188086		2.303188086	13510
Shea Langeliers	ATH	329		2.295256853		2.295256853	25816
Yoshinobu Yamamoto	LAD		91.6666	0	2.277669668	2.277669668	33825
Xavier Edwards	MIA	338		2.227291107		2.227291107	22266
Brayan Rocchio	CLE	296		2.181404591		2.181404591	23690
Mason Miller	SDP		34	0	2.171282768	2.171282768	31757
Randy Arozarena	SEA	309		2.16939044		2.16939044	19290
Jordan Walker	STL	330		2.160350561		2.160350561	27475
Aaron Judge	NYY	261		2.130398989		2.130398989	15640
Michael Soroka	ARI		82	0	2.126116037	2.126116037	18383
Dansby Swanson	CHC	295		2.12603879		2.12603879	18314
Gunnar Henderson	BAL	371		2.103299141		2.103299141	26289
Max Meyer	MIA		90	0	2.100174665	2.100174665	27474
Josh Jung	TEX	321		2.090909243		2.090909243	26299
William Contreras	MIL	323		2.080882549		2.080882549	20503
Ben Brown	CHC		68	0	2.026418209	2.026418209	23590
Riley Greene	DET	335		1.999735236		1.999735236	25976
Alec Burleson	STL	337		1.990602374		1.990602374	27615
Paul Goldschmidt	NYY	211		1.989377141		1.989377141	9218
Tristan Peters	CHW	220		1.982962489		1.982962489	30063
Munetaka Murakami	CHW	246		1.978876114		1.978876114	37120
Kevin Gausman	TOR		89	0	1.972864509	1.972864509	14107
Jazz Chisholm Jr.	NYY	309		1.958177328		1.958177328	20454
Adley Rutschman	BAL	228		1.957500339		1.957500339	26288
Pete Alonso	BAL	355		1.936007261		1.936007261	19251
Logan Webb	SFG		83.3333	0	1.91778326	1.91778326	17995
IvÃ¡n Herrera	STL	354		1.916424155		1.916424155	20599
Max Fried	NYY		61.6666	0	1.91484642	1.91484642	13743
Louis Varland	TOR		43	0	1.90175724	1.90175724	27691
